2025-04-21 15:15:53,996 - INFO - Using device: cuda
2025-04-21 15:15:53,997 - INFO - Set random seeds to 42
2025-04-21 15:15:54,010 - INFO - Saved training feature mean baseline to /home/wallacelab/investigating-complexity/output/new/run_20250421_151553/train_feature_mean.pt
2025-04-21 15:15:54,018 - INFO - Using AttnPool instead of Mean Pooling.
2025-04-21 15:15:55,542 - INFO - Starting training with validation...
2025-04-21 15:16:08,842 - INFO - Epoch [18/25], Train Loss: 0.0100, Val Loss: 0.0347, Val SRCC: 0.5475, Val PCC: 0.5689, Val RMSE: 0.1861, Val RMAE: 0.3732
2025-04-21 15:16:09,022 - INFO - Epoch [19/25], Train Loss: 0.0085, Val Loss: 0.0335, Val SRCC: 0.5077, Val PCC: 0.5637, Val RMSE: 0.1831, Val RMAE: 0.3718
2025-04-21 15:16:09,192 - INFO - Epoch [20/25], Train Loss: 0.0072, Val Loss: 0.0339, Val SRCC: 0.5475, Val PCC: 0.5839, Val RMSE: 0.1842, Val RMAE: 0.3732
2025-04-21 15:16:09,346 - INFO - Epoch [21/25], Train Loss: 0.0066, Val Loss: 0.0361, Val SRCC: 0.5004, Val PCC: 0.5586, Val RMSE: 0.1901, Val RMAE: 0.3801
2025-04-21 15:16:09,515 - INFO - Epoch [22/25], Train Loss: 0.0061, Val Loss: 0.0354, Val SRCC: 0.5063, Val PCC: 0.5640, Val RMSE: 0.1881, Val RMAE: 0.3754
2025-04-21 15:16:09,692 - INFO - Epoch [23/25], Train Loss: 0.0055, Val Loss: 0.0356, Val SRCC: 0.5548, Val PCC: 0.5771, Val RMSE: 0.1886, Val RMAE: 0.3786
2025-04-21 15:16:09,863 - INFO - Epoch [24/25], Train Loss: 0.0068, Val Loss: 0.0417, Val SRCC: 0.4709, Val PCC: 0.5559, Val RMSE: 0.2043, Val RMAE: 0.4077
2025-04-21 15:16:10,019 - INFO - Epoch [25/25], Train Loss: 0.0063, Val Loss: 0.0377, Val SRCC: 0.4695, Val PCC: 0.5534, Val RMSE: 0.1943, Val RMAE: 0.3946
2025-04-21 15:16:10,024 - INFO - Using AttnPool instead of Mean Pooling.
2025-04-21 15:16:10,075 - INFO - Starting training with validation...
2025-04-21 15:16:10,182 - INFO - Epoch [1/25], Train Loss: 0.0464, Val Loss: 0.0567, Val SRCC: -0.3032, Val PCC: -0.2775, Val RMSE: 0.2381, Val RMAE: 0.4476
2025-04-21 15:16:10,287 - INFO - Epoch [2/25], Train Loss: 0.0460, Val Loss: 0.0558, Val SRCC: -0.2237, Val PCC: -0.2194, Val RMSE: 0.2363, Val RMAE: 0.4464
2025-04-21 15:16:10,391 - INFO - Epoch [3/25], Train Loss: 0.0456, Val Loss: 0.0547, Val SRCC: -0.1913, Val PCC: -0.2277, Val RMSE: 0.2338, Val RMAE: 0.4447
2025-04-21 15:16:10,495 - INFO - Epoch [4/25], Train Loss: 0.0455, Val Loss: 0.0539, Val SRCC: -0.2840, Val PCC: -0.2644, Val RMSE: 0.2322, Val RMAE: 0.4434
2025-04-21 15:16:10,604 - INFO - Epoch [5/25], Train Loss: 0.0453, Val Loss: 0.0533, Val SRCC: -0.3223, Val PCC: -0.2777, Val RMSE: 0.2308, Val RMAE: 0.4423
2025-04-21 15:16:10,679 - INFO - Epoch [6/25], Train Loss: 0.0452, Val Loss: 0.0527, Val SRCC: -0.3326, Val PCC: -0.2864, Val RMSE: 0.2295, Val RMAE: 0.4411
2025-04-21 15:16:10,733 - INFO - Epoch [7/25], Train Loss: 0.0450, Val Loss: 0.0522, Val SRCC: -0.3223, Val PCC: -0.3042, Val RMSE: 0.2285, Val RMAE: 0.4401
2025-04-21 15:16:10,816 - INFO - Epoch [8/25], Train Loss: 0.0450, Val Loss: 0.0518, Val SRCC: -0.3091, Val PCC: -0.3092, Val RMSE: 0.2277, Val RMAE: 0.4394
2025-04-21 15:16:10,900 - INFO - Epoch [9/25], Train Loss: 0.0447, Val Loss: 0.0516, Val SRCC: -0.3488, Val PCC: -0.3186, Val RMSE: 0.2272, Val RMAE: 0.4390
2025-04-21 15:16:10,989 - INFO - Epoch [10/25], Train Loss: 0.0445, Val Loss: 0.0518, Val SRCC: -0.3547, Val PCC: -0.3186, Val RMSE: 0.2275, Val RMAE: 0.4392
2025-04-21 15:16:11,094 - INFO - Epoch [11/25], Train Loss: 0.0446, Val Loss: 0.0515, Val SRCC: -0.3591, Val PCC: -0.3217, Val RMSE: 0.2269, Val RMAE: 0.4387
2025-04-21 15:16:11,179 - INFO - Epoch [12/25], Train Loss: 0.0445, Val Loss: 0.0515, Val SRCC: -0.3046, Val PCC: -0.3091, Val RMSE: 0.2268, Val RMAE: 0.4385
2025-04-21 15:16:11,247 - INFO - Epoch [13/25], Train Loss: 0.0446, Val Loss: 0.0515, Val SRCC: -0.3046, Val PCC: -0.2999, Val RMSE: 0.2268, Val RMAE: 0.4385
2025-04-21 15:16:11,317 - INFO - Epoch [14/25], Train Loss: 0.0445, Val Loss: 0.0514, Val SRCC: -0.3091, Val PCC: -0.2916, Val RMSE: 0.2266, Val RMAE: 0.4383
2025-04-21 15:16:11,395 - INFO - Epoch [15/25], Train Loss: 0.0443, Val Loss: 0.0513, Val SRCC: -0.2634, Val PCC: -0.2878, Val RMSE: 0.2266, Val RMAE: 0.4382
2025-04-21 15:16:11,498 - INFO - Epoch [16/25], Train Loss: 0.0445, Val Loss: 0.0512, Val SRCC: -0.2325, Val PCC: -0.2816, Val RMSE: 0.2263, Val RMAE: 0.4379
2025-04-21 15:16:11,619 - INFO - Epoch [17/25], Train Loss: 0.0445, Val Loss: 0.0515, Val SRCC: -0.2325, Val PCC: -0.2697, Val RMSE: 0.2269, Val RMAE: 0.4384
2025-04-21 15:16:11,727 - INFO - Epoch [18/25], Train Loss: 0.0443, Val Loss: 0.0515, Val SRCC: -0.2325, Val PCC: -0.2481, Val RMSE: 0.2269, Val RMAE: 0.4383
2025-04-21 15:16:11,827 - INFO - Epoch [19/25], Train Loss: 0.0443, Val Loss: 0.0514, Val SRCC: -0.2134, Val PCC: -0.2364, Val RMSE: 0.2267, Val RMAE: 0.4380
2025-04-21 15:16:11,927 - INFO - Epoch [20/25], Train Loss: 0.0442, Val Loss: 0.0513, Val SRCC: -0.2134, Val PCC: -0.2379, Val RMSE: 0.2265, Val RMAE: 0.4377
2025-04-21 15:16:12,048 - INFO - Epoch [21/25], Train Loss: 0.0442, Val Loss: 0.0512, Val SRCC: -0.1781, Val PCC: -0.2246, Val RMSE: 0.2263, Val RMAE: 0.4374
2025-04-21 15:16:12,164 - INFO - Epoch [22/25], Train Loss: 0.0443, Val Loss: 0.0512, Val SRCC: -0.1781, Val PCC: -0.2211, Val RMSE: 0.2262, Val RMAE: 0.4372
2025-04-21 15:16:12,274 - INFO - Epoch [23/25], Train Loss: 0.0440, Val Loss: 0.0511, Val SRCC: -0.1634, Val PCC: -0.2194, Val RMSE: 0.2260, Val RMAE: 0.4369
2025-04-21 15:16:12,382 - INFO - Epoch [24/25], Train Loss: 0.0438, Val Loss: 0.0512, Val SRCC: -0.1634, Val PCC: -0.2228, Val RMSE: 0.2262, Val RMAE: 0.4371
2025-04-21 15:16:12,486 - INFO - Epoch [25/25], Train Loss: 0.0439, Val Loss: 0.0515, Val SRCC: -0.1634, Val PCC: -0.2200, Val RMSE: 0.2269, Val RMAE: 0.4377
2025-04-21 15:16:12,492 - INFO - Using AttnPool instead of Mean Pooling.
2025-04-21 15:16:12,517 - INFO - Starting training with validation...
